Date;Year / Année;Month / Mois;Day / Jour;Date in fraction of year / Date en fraction de l'année;Daily total sunspot number / Nombre total de taches par jour;Daily standard deviation / Déviation standard quotidienne;Number of observations / Nombre d'observations;Definitive or provisional value / Valeur définitive ou provisoire;year_month
2020-10-08;2020;10;08;2020.769;6.0;1.9;14;0;2020/10
2020-10-10;2020;10;10;2020.775;15.0;1.3;26;0;2020/10
2020-10-11;2020;10;11;2020.777;17.0;1.1;12;0;2020/10
2020-10-12;2020;10;12;2020.78;16.0;1.0;17;0;2020/10
2020-10-13;2020;10;13;2020.783;0.0;0.0;29;0;2020/10
2020-10-14;2020;10;14;2020.786;5.0;0.3;14;0;2020/10
2020-10-16;2020;10;16;2020.791;13.0;0.7;23;0;2020/10
2020-10-17;2020;10;17;2020.794;13.0;0.9;22;0;2020/10
2020-10-18;2020;10;18;2020.796;23.0;1.6;8;0;2020/10
2020-10-21;2020;10;21;2020.805;11.0;0.7;19;0;2020/10
2020-10-22;2020;10;22;2020.807;11.0;1.0;34;0;2020/10
2020-10-25;2020;10;25;2020.816;22.0;1.6;7;0;2020/10
2020-11-02;2020;11;02;2020.837;8.0;1.6;27;0;2020/11
2020-11-10;2020;11;10;2020.859;27.0;2.1;19;0;2020/11
2020-11-11;2020;11;11;2020.862;31.0;1.9;18;0;2020/11
2020-11-13;2020;11;13;2020.867;25.0;1.4;26;0;2020/11
2020-11-15;2020;11;15;2020.873;6.0;1.8;17;0;2020/11
2020-11-18;2020;11;18;2020.881;12.0;0.8;44;0;2020/11
2020-11-19;2020;11;19;2020.884;12.0;0.7;26;0;2020/11
2020-11-20;2020;11;20;2020.887;12.0;1.0;41;0;2020/11
2020-11-24;2020;11;24;2020.898;42.0;2.2;25;0;2020/11
2020-11-28;2020;11;28;2020.908;84.0;4.7;20;0;2020/11
2020-01-01;2020;01;01;2020.001;6.0;0.3;18;1;2020/01
2020-01-03;2020;01;03;2020.007;13.0;1.2;19;1;2020/01
2020-01-15;2020;01;15;2020.04;0.0;0.0;35;1;2020/01
2020-01-17;2020;01;17;2020.045;0.0;0.0;28;1;2020/01
2020-01-23;2020;01;23;2020.061;0.0;0.0;25;1;2020/01
2020-01-24;2020;01;24;2020.064;8.0;0.5;21;1;2020/01
2020-01-25;2020;01;25;2020.067;12.0;0.7;13;1;2020/01
2020-01-28;2020;01;28;2020.075;12.0;0.8;18;1;2020/01
2020-01-30;2020;01;30;2020.081;12.0;0.6;22;1;2020/01
2020-02-01;2020;02;01;2020.086;6.0;0.4;20;1;2020/02
2020-02-05;2020;02;05;2020.097;0.0;0.0;39;1;2020/02
2020-02-06;2020;02;06;2020.1;0.0;0.0;38;1;2020/02
2020-02-08;2020;02;08;2020.105;0.0;0.0;30;1;2020/02
2020-02-09;2020;02;09;2020.108;0.0;0.0;31;1;2020/02
2020-02-10;2020;02;10;2020.111;0.0;0.0;34;1;2020/02
2020-02-16;2020;02;16;2020.127;0.0;0.0;27;1;2020/02
2020-02-23;2020;02;23;2020.146;0.0;0.0;26;1;2020/02
2020-03-03;2020;03;03;2020.171;0.0;0.0;38;1;2020/03
2020-03-05;2020;03;05;2020.176;0.0;0.0;21;1;2020/03
2020-03-06;2020;03;06;2020.179;0.0;0.0;32;1;2020/03
2020-03-07;2020;03;07;2020.182;2.0;0.0;37;1;2020/03
2020-03-09;2020;03;09;2020.187;11.0;0.0;5;1;2020/03
2020-03-10;2020;03;10;2020.19;0.0;0.0;16;1;2020/03
2020-03-11;2020;03;11;2020.193;0.0;0.0;38;1;2020/03
2020-03-14;2020;03;14;2020.201;0.0;0.0;40;1;2020/03
2020-03-15;2020;03;15;2020.204;0.0;0.0;38;1;2020/03
2020-03-22;2020;03;22;2020.223;0.0;0.0;40;1;2020/03
2020-03-26;2020;03;26;2020.234;0.0;0.0;43;1;2020/03
2020-03-28;2020;03;28;2020.239;0.0;0.0;44;1;2020/03
2020-03-29;2020;03;29;2020.242;0.0;0.0;40;1;2020/03
2020-04-01;2020;04;01;2020.25;13.0;0.9;38;1;2020/04
2020-04-02;2020;04;02;2020.253;13.0;0.8;32;1;2020/04
2020-04-07;2020;04;07;2020.266;0.0;0.0;50;1;2020/04
2020-04-09;2020;04;09;2020.272;0.0;0.0;54;1;2020/04
2020-04-13;2020;04;13;2020.283;0.0;0.0;43;1;2020/04
2020-04-15;2020;04;15;2020.288;0.0;0.0;51;1;2020/04
2020-04-20;2020;04;20;2020.302;0.0;0.0;44;1;2020/04
2020-04-24;2020;04;24;2020.313;0.0;0.0;49;1;2020/04
2020-04-25;2020;04;25;2020.316;6.0;0.4;22;1;2020/04
2020-05-03;2020;05;03;2020.337;0.0;0.0;41;1;2020/05
2020-05-07;2020;05;07;2020.348;0.0;0.0;55;1;2020/05
2020-05-10;2020;05;10;2020.357;0.0;0.0;33;1;2020/05
2020-05-15;2020;05;15;2020.37;0.0;0.0;40;1;2020/05
2020-05-16;2020;05;16;2020.373;0.0;0.0;38;1;2020/05
2020-05-20;2020;05;20;2020.384;0.0;0.0;51;1;2020/05
2020-05-21;2020;05;21;2020.387;0.0;0.0;51;1;2020/05
2020-05-24;2020;05;24;2020.395;0.0;0.0;42;1;2020/05
2020-05-26;2020;05;26;2020.4;0.0;0.0;50;1;2020/05
2020-05-28;2020;05;28;2020.406;0.0;0.0;49;1;2020/05
2020-06-03;2020;06;03;2020.422;9.0;0.7;37;1;2020/06
2020-06-05;2020;06;05;2020.428;13.0;0.7;33;1;2020/06
2020-06-12;2020;06;12;2020.447;11.0;0.9;48;1;2020/06
2020-06-13;2020;06;13;2020.449;11.0;0.5;34;1;2020/06
2020-06-16;2020;06;16;2020.458;0.0;0.0;44;1;2020/06
2020-06-19;2020;06;19;2020.466;0.0;0.0;42;1;2020/06
2020-06-21;2020;06;21;2020.471;0.0;0.0;47;1;2020/06
2020-06-22;2020;06;22;2020.474;0.0;0.0;53;1;2020/06
2020-06-25;2020;06;25;2020.482;0.0;0.0;48;1;2020/06
2020-07-03;2020;07;03;2020.504;0.0;0.0;39;0;2020/07
2020-07-04;2020;07;04;2020.507;7.0;0.3;17;0;2020/07
2020-07-12;2020;07;12;2020.529;0.0;0.0;51;0;2020/07
2020-07-18;2020;07;18;2020.545;0.0;0.0;40;0;2020/07
2020-07-27;2020;07;27;2020.57;11.0;0.3;49;0;2020/07
2020-07-29;2020;07;29;2020.575;22.0;0.3;51;0;2020/07
2020-08-04;2020;08;04;2020.592;12.0;0.6;46;0;2020/08
2020-08-06;2020;08;06;2020.597;13.0;0.5;46;0;2020/08
2020-08-15;2020;08;15;2020.622;0.0;0.0;37;0;2020/08
2020-08-17;2020;08;17;2020.627;0.0;0.0;42;0;2020/08
2020-08-19;2020;08;19;2020.633;15.0;1.0;42;0;2020/08
2020-08-20;2020;08;20;2020.635;13.0;0.9;46;0;2020/08
2020-08-23;2020;08;23;2020.643;0.0;0.0;42;0;2020/08
2020-08-24;2020;08;24;2020.646;0.0;0.0;46;0;2020/08
2020-08-26;2020;08;26;2020.652;0.0;0.0;34;0;2020/08
2020-08-27;2020;08;27;2020.654;0.0;0.0;35;0;2020/08
2020-08-30;2020;08;30;2020.663;0.0;0.0;30;0;2020/08
2020-09-01;2020;09;01;2020.668;0.0;0.0;37;0;2020/09
2020-09-06;2020;09;06;2020.682;0.0;0.0;40;0;2020/09
2020-09-08;2020;09;08;2020.687;0.0;0.0;34;0;2020/09
2020-09-13;2020;09;13;2020.701;0.0;0.0;36;0;2020/09
2020-09-16;2020;09;16;2020.709;0.0;0.0;35;0;2020/09
2020-09-22;2020;09;22;2020.725;0.0;0.0;34;0;2020/09
2020-09-25;2020;09;25;2020.734;5.0;0.4;14;0;2020/09
2020-10-06;2020;10;06;2020.764;0.0;0.0;37;0;2020/10
2020-10-15;2020;10;15;2020.788;13.0;0.7;21;0;2020/10
2020-10-20;2020;10;20;2020.802;13.0;1.3;13;0;2020/10
2020-10-27;2020;10;27;2020.821;44.0;3.9;11;0;2020/10
2020-10-28;2020;10;28;2020.824;28.0;2.0;11;0;2020/10
2020-10-30;2020;10;30;2020.829;31.0;2.7;15;0;2020/10
2020-11-03;2020;11;03;2020.84;16.0;1.3;20;0;2020/11
2020-11-04;2020;11;04;2020.843;24.0;1.2;12;0;2020/11
2020-11-05;2020;11;05;2020.846;31.0;2.5;17;0;2020/11
2020-11-06;2020;11;06;2020.848;41.0;3.4;30;0;2020/11
2020-11-08;2020;11;08;2020.854;44.0;2.5;21;0;2020/11
2020-11-09;2020;11;09;2020.857;28.0;1.8;25;0;2020/11
2020-11-17;2020;11;17;2020.878;12.0;1.0;28;0;2020/11
2020-11-26;2020;11;26;2020.903;57.0;5.4;21;0;2020/11
2020-11-27;2020;11;27;2020.906;75.0;5.2;15;0;2020/11
